"측정소명","년/월/일","수위(cm)","최고수위(cm)","최저수위(cm)"
"김포시(전류리)","2021/06/16","142.5","",""
"김포시(전류리)","2021/06/15","148","",""
"김포시(전류리)","2021/06/14","124","",""
"김포시(전류리)","2021/06/13","156","",""
"김포시(전류리)","2021/06/12","155.67","",""
"김포시(전류리)","2021/06/11","73","",""
"김포시(전류리)","2021/06/10","155.5","",""
"김포시(전류리)","2021/06/09","36","",""
"김포시(전류리)","2021/06/08","9","",""
"김포시(전류리)","2021/06/07","-2","",""
"김포시(전류리)","2021/06/06","127.83","",""
"김포시(전류리)","2021/06/05","124.08","",""
"김포시(전류리)","2021/06/04","142","",""
"김포시(전류리)","2021/06/03","218","",""
"김포시(전류리)","2021/06/02","227","",""
"김포시(전류리)","2021/06/01","206","",""
"김포시(전류리)","2021/05/31","197","",""
"김포시(전류리)","2021/05/30","185.83","",""
"김포시(전류리)","2021/05/29","198.13","",""
"김포시(전류리)","2021/05/28","122","",""
"김포시(전류리)","2021/05/27","103","",""
"김포시(전류리)","2021/05/26","191.92","",""
"김포시(전류리)","2021/05/25","37","",""
"김포시(전류리)","2021/05/24","153.75","",""
"김포시(전류리)","2021/05/23","138.13","",""
"김포시(전류리)","2021/05/22","119.63","",""
"김포시(전류리)","2021/05/21","95.92","",""
"김포시(전류리)","2021/05/20","185","",""
"김포시(전류리)","2021/05/19","117.96","",""
"김포시(전류리)","2021/05/18","186","",""
"김포시(전류리)","2021/05/17","166","",""
"김포시(전류리)","2021/05/16","163.04","",""
"김포시(전류리)","2021/05/15","157.67","",""
"김포시(전류리)","2021/05/14","157.08","",""
"김포시(전류리)","2021/05/13","99","",""
